,datemut,valeurfonc,sbati,pp,valeur_per_met
298,2014-12-23,348500.0,42.0,2.0,8299.666666666668
299,2014-12-24,259280.0,43.5,2.0,6554.098187947746
300,2014-12-26,219244.0,34.0,1.5,7641.400293255132
301,2014-12-27,518000.0,52.0,3.0,9961.538461538461
302,2014-12-29,305000.0,42.0,2.0,7881.578947368422
303,2014-12-30,335000.0,44.0,2.0,7859.756097560976
304,2014-12-31,265000.0,42.0,2.0,7625.0
305,2015-01-02,275500.0,54.0,2.0,7419.354838709677
306,2015-01-05,446900.0,59.5,3.0,7583.741258741259
307,2015-01-06,347500.0,47.5,2.0,7921.744782349433
308,2015-01-07,387000.0,46.0,2.0,8490.566037735849
309,2015-01-08,302500.0,41.0,2.0,8300.945881226053
310,2015-01-09,303000.0,40.0,2.0,8109.756097560976
311,2015-01-10,240000.0,24.0,1.0,10000.0
312,2015-01-12,280000.0,36.0,2.0,7777.777777777777
313,2015-01-13,320000.0,44.0,2.0,8179.6875
314,2015-01-14,308000.0,36.5,2.0,8045.714285714286
315,2015-01-15,325000.0,42.5,2.0,8066.239316239316
316,2015-01-16,316325.0,41.0,2.0,7985.069444444444
317,2015-01-17,67725.0,39.0,2.0,1736.5384615384614
318,2015-01-19,330000.0,47.5,2.0,8352.380952380952
319,2015-01-20,284950.0,40.0,2.0,7783.156498673739
320,2015-01-21,319750.0,40.0,2.0,7800.367647058823
321,2015-01-22,230000.0,35.0,2.0,7564.102564102564
322,2015-01-23,282000.0,39.0,2.0,7500.0
323,2015-01-24,275000.0,62.0,3.0,6875.0
324,2015-01-26,270000.0,38.5,2.0,7790.917487684728
325,2015-01-27,341750.0,49.0,2.0,7963.188798554652
326,2015-01-28,327400.0,37.0,2.0,8444.444444444445
327,2015-01-29,315000.0,40.5,2.0,7891.111111111111
328,2015-01-30,329208.0,46.0,2.0,7904.035087719298
329,2015-01-31,219956.0,35.5,2.0,6406.0308555399715
330,2015-02-02,335000.0,40.0,2.0,8000.0
331,2015-02-03,365000.0,45.0,2.0,8074.9655172413795
332,2015-02-04,360000.0,46.0,2.0,7452.830188679245
333,2015-02-05,317500.0,39.0,2.0,8067.5777777777785
334,2015-02-06,310500.0,39.0,2.0,7834.096109839817
335,2015-02-07,170000.0,28.5,2.0,5214.285714285714
336,2015-02-08,367888.0,71.0,3.0,5181.521126760564
337,2015-02-09,239750.0,32.5,2.0,7655.075187969925
338,2015-02-10,323010.0,37.5,2.0,7885.1161020175105
339,2015-02-11,380000.0,48.5,2.0,7831.7307692307695
340,2015-02-12,335000.0,45.0,2.0,7980.7692307692305
341,2015-02-13,288000.0,39.0,2.0,8272.727272727272
342,2015-02-14,155000.0,22.0,1.0,7045.454545454545
343,2015-02-16,295150.0,35.5,2.0,7767.0
344,2015-02-17,355000.0,49.0,2.0,8290.322580645161
345,2015-02-18,330000.0,50.0,2.0,7250.0
346,2015-02-19,290000.0,40.0,2.0,7881.863132911392
347,2015-02-20,331166.5,44.0,2.0,8000.0
348,2015-02-21,369850.0,45.0,2.0,8405.681818181818
349,2015-02-23,294000.0,37.0,2.0,7969.69696969697
350,2015-02-24,347000.0,48.0,2.0,8083.333333333333
351,2015-02-25,341000.0,44.5,2.0,8053.997194950912
352,2015-02-26,375000.0,48.0,2.0,8370.289855072464
353,2015-02-27,362500.0,46.0,2.0,8094.017094017094
354,2015-02-28,342500.0,42.5,2.0,8278.571428571428
355,2015-03-02,390500.0,50.5,3.0,8000.0
356,2015-03-03,282000.0,41.0,2.0,7717.391304347826
357,2015-03-04,390000.0,52.0,2.0,7617.1875
358,2015-03-05,288475.0,42.0,2.0,7826.813655761024
359,2015-03-06,354550.0,49.0,2.0,7644.552139037433
360,2015-03-07,305000.0,46.5,1.5,6930.19943019943
361,2015-03-09,285000.0,41.0,2.0,7740.274599542334
362,2015-03-10,492500.0,56.5,3.0,9234.892787524366
363,2015-03-11,293000.0,44.0,2.0,7692.307692307692
364,2015-03-12,300000.0,40.0,2.0,7764.705882352941
365,2015-03-13,334015.0,44.5,2.0,8348.290598290598
366,2015-03-14,885000.0,99.5,2.5,9433.36741649625
367,2015-03-15,296000.0,35.0,2.0,8457.142857142857
368,2015-03-16,363000.0,50.0,2.0,8194.444444444445
369,2015-03-17,305000.0,41.0,2.0,8000.0
370,2015-03-18,297850.0,40.0,2.0,7287.179487179487
371,2015-03-19,348000.0,45.0,2.0,8098.591549295775
372,2015-03-20,319100.0,40.0,2.0,8275.862068965518
373,2015-03-21,710000.0,76.0,3.0,8148.148148148148
374,2015-03-23,281500.0,42.5,2.0,7903.8800705467365
375,2015-03-24,326700.0,41.5,2.0,7821.875
376,2015-03-25,253000.0,36.0,2.0,8000.0
377,2015-03-26,260000.0,36.5,2.0,7875.135975135975
378,2015-03-27,294000.0,40.0,2.0,7812.5
379,2015-03-28,212500.0,32.5,2.0,6980.0
380,2015-03-30,337500.0,43.5,2.0,7911.270161290322
381,2015-03-31,320250.0,40.0,2.0,7818.181818181818
382,2015-04-01,299000.0,43.0,2.0,7891.304347826087
383,2015-04-02,360250.0,46.5,2.0,7756.410256410256
384,2015-04-03,354000.0,44.5,2.0,7834.987593052108
385,2015-04-04,780000.0,86.0,4.0,9069.767441860466
386,2015-04-07,370000.0,53.0,3.0,8032.941176470588
387,2015-04-08,324000.0,46.0,2.0,7735.8490566037735
388,2015-04-09,341750.0,42.0,2.0,7937.925170068027
389,2015-04-10,339400.0,43.0,2.0,7881.944444444444
390,2015-04-11,130000.0,40.0,2.0,6190.476190476191
391,2015-04-13,349000.0,44.0,2.0,8100.0
392,2015-04-14,344580.0,47.0,2.0,8197.222222222223
393,2015-04-15,310000.0,45.0,2.0,7677.419354838709
394,2015-04-16,333000.0,44.0,2.0,7882.5
395,2015-04-17,370000.0,45.5,2.0,7918.333333333334
396,2015-04-18,195000.0,25.0,1.5,10301.724137931034
397,2015-04-20,324500.0,45.5,2.0,7687.617260787993
398,2015-04-21,235233.0,36.0,2.0,7815.079365079365
399,2015-04-22,315000.0,44.0,2.0,8276.595744680852
400,2015-04-23,322500.0,46.5,2.0,7947.368421052632
401,2015-04-24,330250.0,46.5,2.0,8099.891774891776
402,2015-04-25,298038.0,39.5,2.5,7956.232946298985
403,2015-04-27,285000.0,42.0,2.0,7560.5822187254125
404,2015-04-28,360010.0,46.0,2.0,8013.04347826087
405,2015-04-29,320000.0,42.0,2.0,8153.846153846154
406,2015-04-30,366840.0,49.0,2.0,8275.862068965518
407,2015-05-04,347500.0,49.0,2.0,7847.990777338604
408,2015-05-05,359300.0,45.0,2.0,7884.523809523809
409,2015-05-06,345000.0,47.0,2.0,7858.333333333333
410,2015-05-07,325000.0,44.0,2.0,7948.717948717948
411,2015-05-08,390000.0,35.0,2.0,11142.857142857143
412,2015-05-11,335000.0,47.0,2.0,7500.0
413,2015-05-12,288200.0,38.0,2.0,7871.6091954022995
